epoch,train,valid,test,best_train,best_valid,best_test
36,0.3158139471084841,0.5912380218505859,0.7350744605064392,"(0.3158139471084841, 36)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
37,0.3346122892231204,0.5466554164886475,0.659209132194519,"(0.3158139471084841, 36)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
38,0.3116782949829672,0.6253547072410583,0.6938331723213196,"(0.3116782949829672, 38)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
39,0.2975807843302953,0.6541227698326111,0.8338491320610046,"(0.2975807843302953, 39)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
40,0.2673049559516291,0.7060075998306274,0.8954887986183167,"(0.2673049559516291, 40)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
41,0.32823113101418666,0.9510972499847412,0.8700335621833801,"(0.2673049559516291, 40)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
42,0.2711151162428515,0.5769013166427612,0.6704809665679932,"(0.2673049559516291, 40)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
43,0.299029086111328,0.47798553109169006,0.7063761353492737,"(0.2673049559516291, 40)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
44,0.28990860242173416,0.7139811515808105,0.7660742402076721,"(0.2673049559516291, 40)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
45,0.27458738322768894,0.6773020029067993,0.7323927879333496,"(0.2673049559516291, 40)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
46,0.2496250153343249,0.8077433109283447,0.9370161294937134,"(0.2496250153343249, 46)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
47,0.2463812057598369,0.867829442024231,0.9668780565261841,"(0.2463812057598369, 47)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
48,0.21602883715234045,0.7489852905273438,1.0012561082839966,"(0.21602883715234045, 48)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
49,0.307513804617016,0.50104159116745,0.7354123592376709,"(0.21602883715234045, 48)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
50,0.3116906886620376,0.7734361886978149,0.7536597847938538,"(0.21602883715234045, 48)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
51,0.21123914077259978,0.6924847960472107,0.993366539478302,"(0.21123914077259978, 51)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
52,0.21469375916889735,1.111007571220398,1.117140293121338,"(0.21123914077259978, 51)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
53,0.2376691137316035,0.7750004529953003,0.9572865962982178,"(0.21123914077259978, 51)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
54,0.22537108139920345,0.9790089726448059,1.2046668529510498,"(0.21123914077259978, 51)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
55,0.16723957784851576,0.7700873613357544,0.7995293140411377,"(0.16723957784851576, 55)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
56,0.1893767304524022,1.0039206743240356,1.0382124185562134,"(0.16723957784851576, 55)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
57,0.21453710044583968,1.0428749322891235,1.1309940814971924,"(0.16723957784851576, 55)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
58,0.18758215617886337,0.6363056302070618,0.8917056322097778,"(0.16723957784851576, 55)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
59,0.22719460283298784,0.6841097474098206,0.8707094788551331,"(0.16723957784851576, 55)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
60,0.13984049128771925,0.910045862197876,1.1356825828552246,"(0.13984049128771925, 60)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
61,0.15805583536487572,0.5979750156402588,0.9097282886505127,"(0.13984049128771925, 60)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
62,0.17524004830605425,1.1731488704681396,1.1518129110336304,"(0.13984049128771925, 60)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
63,0.18819079743809392,0.9599552750587463,1.0154963731765747,"(0.13984049128771925, 60)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
64,0.15019871946853428,0.9164376854896545,1.0369377136230469,"(0.13984049128771925, 60)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
65,0.16826468040042106,0.9812438488006592,1.1574692726135254,"(0.13984049128771925, 60)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
66,0.09861636875961208,1.3908088207244873,1.4000166654586792,"(0.09861636875961208, 66)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
67,0.17078557998491323,1.0452226400375366,1.2164802551269531,"(0.09861636875961208, 66)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
68,0.1073918244479576,1.1925196647644043,1.2700309753417969,"(0.09861636875961208, 66)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
69,0.1645860722297073,1.0755629539489746,1.2609105110168457,"(0.09861636875961208, 66)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
70,0.1665194004946839,1.1254658699035645,1.1903730630874634,"(0.09861636875961208, 66)","(0.47798553109169006, 43)","(0.6541332602500916, 28)"
